@relation tmp
@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute class {0,1}
@data
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.38596491228070173,0.17543859649122806,0.03508771929824561,0.017543859649122806,0,0,1.0,1.0,1.0,1.0,0.13333333333333333,0.023529411764705882,0.00900050352467271,0.004240882103477523,1
0.29333333333333333,0.05333333333333334,0.0,0.28,0,0,1.0,1.0,1.0,1.0,0.02356591194138227,0.02054794520547945,0.02054794520547945,0.01694915254237288,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.35714285714285715,0.27380952380952384,0.07142857142857142,0.13095238095238096,0,0,1.0,1.0,1.0,1.0,0.015503875968992248,0.010683760683760684,0.00900050352467271,0.004878048780487805,1
0.5,0.1,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.13333333333333333,0.00900050352467271,0.0005574136008918618,0.0005574136008918618,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.27631578947368424,0.05263157894736842,0.0,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.02356591194138227,0.02054794520547945,0.02054794520547945,1
0.3614457831325301,0.1566265060240964,0.0,0.26506024096385544,0,0,1.0,1.0,1.0,1.0,0.06299212598425197,0.028169014084507043,0.02356591194138227,0.02356591194138227,1
0.35802469135802467,0.08641975308641975,0.0,0.2222222222222222,0,0,1.0,1.0,1.0,1.0,0.06299212598425197,0.02356591194138227,0.02356591194138227,0.012987012987012988,1
0.5,0.25,0.0,0.08333333333333333,0,0,1.0,1.0,1.0,1.0,0.00900050352467271,0.008561643835616438,0.0,0.0,1
0.4117647058823529,0.13725490196078433,0.0784313725490196,0.058823529411764705,0,0,1.0,1.0,1.0,1.0,0.030303030303030304,0.02356591194138227,0.02356591194138227,0.011904761904761904,1
0.34545454545454546,0.16363636363636364,0.01818181818181818,0.14545454545454545,0,0,1.0,1.0,1.0,1.0,0.03125,0.02356591194138227,0.02356591194138227,0.02356591194138227,1
0.4444444444444444,0.0,0.0,0.4444444444444444,0,0,1.0,1.0,1.0,1.0,0.00900050352467271,0.0,0.0,0.0,1
0.42857142857142855,0.21428571428571427,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.04838709677419355,0.046153846153846156,0.02356591194138227,0.00900050352467271,1
0.13636363636363635,0.0,0.0,0.5,0,0,1.0,1.0,1.0,1.0,0.2,0.021739130434782608,0.00900050352467271,0.008583690987124463,1
0.43478260869565216,0.2608695652173913,0.0,0.08695652173913043,0,0,1.0,1.0,1.0,1.0,0.028169014084507043,0.025,0.02452316076294278,0.02356591194138227,1
0.39285714285714285,0.07142857142857142,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.010683760683760684,0.00900050352467271,0.00900050352467271,0.00900050352467271,1
0.35714285714285715,0.35714285714285715,0.07142857142857142,0.0,0,0,1.0,1.0,1.0,1.0,0.047244094488188976,0.02356591194138227,0.02356591194138227,0.00900050352467271,1
0.4126984126984127,0.12698412698412698,0.0,0.2698412698412698,0,0,1.0,1.0,1.0,1.0,0.06299212598425197,0.028169014084507043,0.02356591194138227,0.013910355486862442,1
0.2247191011235955,0.0,0.011235955056179775,0.3595505617977528,0,0,1.0,1.0,1.0,1.0,0.00900050352467271,0.004240882103477523,0.004240882103477523,0.004240882103477523,1
0.3707865168539326,0.1348314606741573,0.0,0.21348314606741572,0,0,1.0,1.0,1.0,1.0,0.06299212598425197,0.028169014084507043,0.02356591194138227,0.017699115044247787,1
0.5,0.16666666666666666,0.0,0.08333333333333333,0,0,1.0,1.0,1.0,1.0,0.00900050352467271,0.008561643835616438,0.0005504587155963303,0.0,1
0.3047619047619048,0.19047619047619047,0.009523809523809525,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.06299212598425197,0.06299212598425197,0.00900050352467271,0.008561643835616438,1
0.3047619047619048,0.19047619047619047,0.009523809523809525,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.06299212598425197,0.06299212598425197,0.00900050352467271,0.008561643835616438,1
0.24778761061946902,0.1415929203539823,0.017699115044247787,0.1415929203539823,0,0,1.0,1.0,1.0,1.0,0.06299212598425197,0.00900050352467271,0.008583690987124463,0.008561643835616438,1
0.35714285714285715,0.12244897959183673,0.0,0.21428571428571427,0,0,1.0,1.0,1.0,1.0,0.013910355486862442,0.013910355486862442,0.013910355486862442,0.013910355486862442,1
0.29577464788732394,0.09859154929577464,0.056338028169014086,0.04225352112676056,0,0,1.0,1.0,1.0,1.0,0.030303030303030304,0.02356591194138227,0.02356591194138227,0.011904761904761904,1
0.30357142857142855,0.16071428571428573,0.017857142857142856,0.125,0,0,1.0,1.0,1.0,1.0,0.02356591194138227,0.02356591194138227,0.02356591194138227,0.02356591194138227,1
0.26595744680851063,0.0851063829787234,0.0425531914893617,0.07446808510638298,0,0,1.0,1.0,1.0,1.0,0.030303030303030304,0.02356591194138227,0.02356591194138227,0.011904761904761904,1
0.2727272727272727,0.10909090909090909,0.0,0.14545454545454545,0,0,1.0,1.0,1.0,1.0,0.02452316076294278,0.011363636363636364,0.00900050352467271,0.00819672131147541,1
0.375,0.275,0.0,0.025,0,0,1.0,1.0,1.0,1.0,0.04,0.04,0.04,0.03571428571428571,1
0.5714285714285714,0.21428571428571427,0.0,0.07142857142857142,0,0,1.0,1.0,1.0,1.0,0.028169014084507043,0.01639344262295082,0.010683760683760684,0.00900050352467271,1
0.4,0.0,0.0,0.4,0,0,1.0,1.0,1.0,1.0,0.00900050352467271,0.004698512137823023,0.0,0.0,1
0.5833333333333334,0.16666666666666666,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.02356591194138227,0.00900050352467271,0.0,0.0,1
0.24752475247524752,0.0,0.0,0.019801980198019802,0,0,1.0,1.0,1.0,1.0,0.03125,0.00900050352467271,0.0022696568495001353,0.0022696568495001353,1
0.27631578947368424,0.09210526315789473,0.05263157894736842,0.039473684210526314,0,0,1.0,1.0,1.0,1.0,0.030303030303030304,0.02356591194138227,0.02356591194138227,0.011904761904761904,1
0.29310344827586204,0.15517241379310345,0.017241379310344827,0.1206896551724138,0,0,1.0,1.0,1.0,1.0,0.02356591194138227,0.02356591194138227,0.02356591194138227,0.02356591194138227,1
0.36363636363636365,0.0,0.0,0.36363636363636365,0,0,1.0,1.0,1.0,1.0,0.00900050352467271,0.004698512137823023,0.004698512137823023,0.0,1
0.5833333333333334,0.16666666666666666,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.02356591194138227,0.00900050352467271,0.0,0.0,1
0.23333333333333334,0.08888888888888889,0.044444444444444446,0.03333333333333333,0,0,1.0,1.0,1.0,1.0,0.030303030303030304,0.02356591194138227,0.02356591194138227,0.011904761904761904,1
0.2727272727272727,0.10909090909090909,0.0,0.14545454545454545,0,0,1.0,1.0,1.0,1.0,0.02452316076294278,0.011363636363636364,0.00900050352467271,0.00819672131147541,1
0.379746835443038,0.27848101265822783,0.0,0.02531645569620253,0,0,1.0,1.0,1.0,1.0,0.04,0.04,0.04,0.03571428571428571,1
0.5714285714285714,0.21428571428571427,0.0,0.07142857142857142,0,0,1.0,1.0,1.0,1.0,0.028169014084507043,0.01639344262295082,0.010683760683760684,0.00900050352467271,1
0.36363636363636365,0.0,0.0,0.36363636363636365,0,0,1.0,1.0,1.0,1.0,0.00900050352467271,0.004698512137823023,0.004698512137823023,0.0,1
0.4375,0.1875,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.02356591194138227,0.00900050352467271,0.006607929515418502,0.003484320557491289,1
0.5074626865671642,0.0,0.0,0.029850746268656716,0,0,1.0,1.0,1.0,1.0,0.13333333333333333,0.03125,0.00900050352467271,0.00900050352467271,1
0.3620689655172414,0.1206896551724138,0.06896551724137931,0.05172413793103448,0,0,1.0,1.0,1.0,1.0,0.030303030303030304,0.02356591194138227,0.02356591194138227,0.011904761904761904,1
0.29310344827586204,0.15517241379310345,0.017241379310344827,0.1206896551724138,0,0,1.0,1.0,1.0,1.0,0.02356591194138227,0.02356591194138227,0.02356591194138227,0.02356591194138227,1
0.3333333333333333,0.10666666666666667,0.05333333333333334,0.09333333333333334,0,0,1.0,1.0,1.0,1.0,0.030303030303030304,0.02356591194138227,0.02356591194138227,0.011904761904761904,1
0.2727272727272727,0.10909090909090909,0.0,0.14545454545454545,0,0,1.0,1.0,1.0,1.0,0.02452316076294278,0.011363636363636364,0.00900050352467271,0.00819672131147541,1
